,Unnamed: 0,date,region,temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour
0,0,2022-01-01,Abidjan,32.0,26.0,14.0,26.0,3.0,81.0,9.75,52.0,38.0,24.0,1013.0,2022-07-19 06:25:00,2022-07-19 18:14:00,11:49:0
1,1,2022-01-02,Abidjan,29.0,26.0,16.0,26.0,3.0,81.0,9.625,52.0,33.0,24.0,1012.0,2022-07-19 06:25:00,2022-07-19 18:15:00,11:50:0
2,2,2022-01-03,Abidjan,32.0,26.0,19.0,26.0,1.0,81.0,9.75,57.0,38.0,25.0,1012.0,2022-07-19 06:26:00,2022-07-19 18:15:00,11:49:0
3,3,2022-01-04,Abidjan,32.0,27.0,18.0,27.0,2.0,80.0,9.75,61.0,38.0,26.0,1012.0,2022-07-19 06:26:00,2022-07-19 18:16:00,11:50:0
4,4,2022-01-05,Abidjan,29.0,27.0,19.0,27.0,2.0,77.0,9.625,57.0,34.0,24.0,1012.0,2022-07-19 06:26:00,2022-07-19 18:16:00,11:50:0
5,5,2022-01-06,Abidjan,29.0,26.0,17.0,26.0,4.0,81.0,9.75,59.0,33.0,23.0,1012.0,2022-07-19 06:27:00,2022-07-19 18:17:00,11:50:0
6,6,2022-01-07,Abidjan,29.0,27.0,15.0,27.0,6.0,81.0,9.5,63.0,33.0,24.0,1012.0,2022-07-19 06:27:00,2022-07-19 18:17:00,11:50:0
7,7,2022-01-08,Abidjan,32.0,27.0,14.0,27.0,4.0,78.0,9.625,48.0,39.0,25.0,1012.0,2022-07-19 06:28:00,2022-07-19 18:18:00,11:50:0
8,8,2022-01-09,Abidjan,32.0,28.0,15.0,28.0,5.0,80.0,9.75,56.0,38.0,25.0,1012.0,2022-07-19 06:28:00,2022-07-19 18:18:00,11:50:0
9,9,2022-01-10,Abidjan,30.0,27.0,21.0,27.0,2.0,82.0,9.875,56.0,34.0,25.0,1011.0,2022-07-19 06:28:00,2022-07-19 18:19:00,11:51:0
10,10,2022-01-11,Abidjan,31.0,26.0,22.0,26.0,3.0,81.0,9.75,52.0,38.0,26.0,1012.0,2022-07-19 06:29:00,2022-07-19 18:19:00,11:50:0
